 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
156	0159-0318	1394.507	57.024	73	309	127.875	35.010	1	1	0
157	0161-0316	800.435	42.438	122	322	45.000	30.008	0	1	1
158	0162-0317	906.742	44.523	400	310	128.157	30.008	0	1	1
159	0163-0321	1657.150	58.379	141	314	133.264	38.901	1	1	0
160	0164-0321	1025.557	46.515	62	314	126.254	32.432	1	1	0
161	0165-0326	1588.362	66.445	352	314	109.799	32.509	1	4	3
162	0166-0321	637.846	36.065	270	315	123.690	22.506	0	0	0
163	0167-0323	525.285	32.024	190	318	128.660	22.506	1	1	0
164	0168-0326	938.009	42.585	243	320	139.764	32.509	1	2	1
165	0169-0327	1488.308	55.524	426	322	144.162	37.510	1	1	0
166	0170-0328	1069.331	43.023	222	321	125.538	35.010	1	2	1
167	0171-0327	443.991	30.112	452	332	48.366	20.005	1	1	0
168	0172-0341	2051.114	79.078	330	356	71.565	32.509	1	1	0
169	0173-0338	2526.372	84.024	127	330	143.471	47.519	1	1	0
170	0174-0333	387.710	28.292	175	329	135.000	20.005	0	0	0
171	0175-0342	3414.354	81.147	380	329	123.690	64.234	2	3	1
172	0176-0338	950.516	45.906	467	346	60.642	27.507	0	0	0
173	0177-0339	1225.665	48.554	110	347	55.491	32.509	0	0	0
174	0178-0342	2138.661	86.228	413	332	150.461	37.816	3	3	0
175	0179-0344	1807.231	65.210	90	355	57.529	47.513	0	1	1
176	0181-0346	1932.299	69.165	54	357	49.399	41.382	0	0	0
177	0182-0341	587.819	35.541	156	347	50.711	22.506	1	1	0
178	0183-0346	1788.471	59.018	209	352	36.384	42.307	1	2	1
179	0184-0343	963.023	48.036	253	351	51.340	30.008	0	0	0
180	0186-0339	393.964	28.512	294	336	142.125	17.505	1	1	0
181	0187-0347	1031.810	57.134	502	358	66.801	22.506	1	2	1
182	0188-0341	306.416	24.755	344	338	135.000	17.505	0	0	0
183	0189-0344	575.312	34.013	77	339	126.027	22.506	0	0	0
184	0190-0345	306.416	24.755	320	342	135.000	17.505	0	0	0
185	0192-0355	1069.331	46.983	194	347	115.201	30.008	2	2	0
186	0193-0359	2182.435	68.666	473	371	56.889	52.788	4	4	0
187	0195-0358	1369.494	56.694	300	350	131.424	38.901	0	2	2
188	0196-0357	925.502	44.523	449	350	128.157	30.008	1	1	0
189	0197-0361	1719.684	55.917	121	351	116.565	42.512	0	0	0
190	0198-0357	769.168	38.171	142	352	148.392	25.007	0	0	0
191	0199-0360	1181.892	46.110	101	367	40.601	35.010	0	0	0
192	0200-0363	2194.942	74.602	371	353	140.440	45.058	1	1	0
193	0201-0362	881.729	46.110	76	369	49.399	30.008	0	0	0
194	0202-0373	4127.241	88.093	409	362	145.408	63.303	3	4	1
195	0203-0366	637.846	33.643	252	371	41.987	25.007	0	0	0
196	0204-0378	3132.951	99.180	45	395	56.310	61.517	1	1	0
197	0205-0370	919.249	46.110	437	364	139.399	30.060	1	2	1
198	0206-0375	1507.068	69.526	146	367	142.306	35.969	1	1	0
199	0208-0384	1450.788	64.049	246	394	51.340	34.653	1	1	0
200	0209-0377	306.416	24.755	359	374	135.000	17.505	0	0	0
201	0210-0379	437.738	30.112	133	375	131.634	20.005	0	0	0
202	0211-0379	393.964	28.292	480	375	135.000	20.005	0	0	0
203	0213-0392	2207.448	66.586	381	404	55.713	52.514	1	1	0
204	0214-0392	1919.792	61.762	189	403	58.241	46.469	1	1	0
205	0215-0387	581.566	35.365	453	392	45.000	25.007	1	1	0
206	0216-0395	1356.987	65.210	319	405	57.529	35.177	2	2	0
207	0217-0387	306.416	24.755	491	384	135.000	17.505	0	1	1
208	0218-0391	587.819	34.741	443	385	120.256	20.005	0	0	0
209	0219-0391	762.914	41.014	99	396	37.569	27.507	0	0	0
210	0220-0389	306.416	24.755	265	386	135.000	17.505	0	0	0
211	0221-0392	519.032	33.643	139	387	131.987	22.506	0	0	0
212	0222-0392	612.833	37.175	471	387	137.726	25.007	0	0	0
213	0223-0399	2326.263	64.873	159	411	62.447	45.012	1	1	0
214	0224-0398	706.634	39.062	355	404	50.194	25.007	0	1	1
215	0225-0397	744.154	37.510	429	393	143.130	27.507	0	1	1
216	0226-0400	575.312	36.065	308	406	56.310	20.005	1	1	0
217	0227-0405	1219.412	55.524	102	414	54.162	33.358	0	0	0
218	0228-0401	581.566	33.643	460	405	41.987	25.007	1	1	0
219	0229-0401	737.901	43.744	290	406	30.964	22.506	1	2	1
220	0230-0408	1650.896	57.570	250	418	55.620	40.011	1	1	0
221	0231-0409	1638.389	64.049	420	399	128.660	38.901	0	1	1
222	0232-0406	787.928	39.062	139	412	50.194	27.507	0	1	1
223	0233-0405	537.792	34.013	345	411	53.973	20.005	1	1	0
224	0234-0409	1106.851	48.102	198	401	117.897	30.008	0	0	0
225	0235-0405	393.964	28.512	394	402	142.125	17.505	0	0	0
226	0236-0419	3383.087	95.714	446	404	123.275	55.057	3	3	0
227	0237-0410	1156.878	43.744	174	403	120.964	35.010	0	0	0
228	0238-0411	931.756	48.036	487	419	51.340	30.008	0	1	1
229	0240-0417	1300.706	49.321	473	408	120.466	37.365	1	1	0
230	0241-0420	1388.254	53.047	53	429	45.000	37.510	1	1	0
231	0242-0419	519.032	34.013	283	425	53.973	20.005	0	0	0
232	0243-0422	306.416	24.755	193	419	135.000	17.505	0	0	0
233	0244-0423	437.738	28.512	264	419	127.875	20.005	0	0	0
234	0245-0426	869.222	44.523	383	433	51.843	27.507	1	1	0
235	0246-0427	938.009	41.620	397	434	57.265	30.008	0	0	0
236	0247-0426	431.484	30.112	341	422	131.634	20.005	0	1	1
237	0248-0429	637.846	36.065	68	435	56.310	22.506	1	1	0
238	0249-0434	2332.516	69.526	419	423	127.694	52.514	1	1	0
239	0250-0432	1713.430	57.024	138	425	142.125	42.512	0	0	0
240	0251-0433	2251.222	71.171	236	433	161.565	47.513	0	0	0
241	0252-0430	594.073	34.013	125	435	36.027	22.506	0	0	0
242	0253-0436	1356.987	65.449	493	427	133.452	40.879	2	2	0
243	0254-0442	2989.123	95.551	466	456	47.121	49.198	4	4	0
244	0255-0436	1069.331	44.523	160	430	141.843	32.509	0	0	0
245	0256-0437	687.873	34.013	49	441	36.027	27.507	1	1	0
246	0258-0438	350.190	26.583	310	434	131.186	17.505	0	0	0
247	0259-0439	350.190	26.583	109	435	131.186	17.505	0	0	0
248	0260-0439	437.738	30.112	331	444	48.366	20.005	0	0	0
249	0261-0445	2326.263	66.067	383	453	29.476	50.014	0	1	1
250	0262-0441	806.688	39.539	61	438	145.305	27.507	0	0	0
251	0263-0446	737.901	37.510	180	452	53.130	27.507	0	0	0
252	0264-0447	850.462	42.438	270	453	45.000	30.008	1	1	0
253	0266-0451	781.674	38.901	333	457	45.000	27.507	0	0	0
254	0267-0455	1100.598	45.906	192	447	119.358	30.008	0	0	0
255	0268-0457	1707.177	62.517	248	447	126.870	39.329	1	1	0
256	0269-0455	956.769	41.014	362	460	37.569	30.008	0	0	0
257	0270-0459	1738.444	59.282	424	449	117.646	40.011	1	1	0
258	0272-0457	531.539	30.525	59	452	124.992	22.506	0	0	0
259	0273-0459	769.168	39.539	403	466	55.305	25.007	0	1	1
