 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0237-0186	2372.288	61.886	174.333	266.000	64.125	51.343	7	17	10
2	0228-0231	1338.727	47.642	218.333	247.333	57.867	40.607	1	4	3
3	0184-0233	1657.900	90.368	190.333	195.667	19.170	26.373	2	2	0
4	0153-0220	4137.246	92.705	174.333	164.333	8.480	61.414	7	9	2
5	0235-0278	5549.013	114.592	253.333	291.000	76.368	73.470	3	5	2
6	0296-0318	3820.074	78.240	308.500	334.000	76.319	65.510	4	14	10
7	0310-0374	1885.023	60.986	354.500	284.500	120.561	45.625	1	3	2
8	0255-0356	1669.907	55.848	336.000	243.000	141.180	47.013	1	5	4
9	0189-0339	5758.126	113.283	288.500	155.500	150.945	74.314	6	13	7
10	0336-0269	2269.232	64.779	262.000	305.000	103.392	44.512	3	9	6
11	0372-0333	6237.386	97.333	300.500	338.500	126.222	83.794	11	16	5
12	0392-0245	2026.100	58.121	217.500	394.500	15.471	45.806	9	14	5
13	0443-0299	3872.102	105.320	275.000	394.500	111.448	47.956	8	14	6
14	0460-0362	4062.205	92.559	329.500	427.500	144.678	68.761	1	3	2
15	0428-0421	6512.536	108.003	390.500	380.500	120.008	77.871	1	4	3
16	0351-0407	1765.959	59.564	386.000	334.500	139.086	42.720	3	5	2
17	0397-0468	2805.523	77.792	459.500	359.500	102.249	50.916	1	6	5
18	0336-0440	2316.258	65.087	437.000	369.000	87.357	49.644	2	3	1
19	0264-0410	3716.017	96.386	389.500	219.500	106.272	55.634	1	10	9
20	0217-0432	2835.539	77.419	414.000	184.500	129.758	48.673	7	12	5
21	0158-0390	2994.626	75.187	363.000	132.500	139.316	48.025	3	14	11
22	0108-0356	1580.858	58.539	340.500	80.500	106.887	39.428	1	3	2
23	0129-0320	1326.720	47.090	309.000	150.500	67.521	39.394	0	1	1
24	0284-0465	2548.384	74.061	457.000	249.000	106.477	44.705	0	3	3
25	0176-0470	2537.378	63.541	457.000	148.500	115.153	53.014	4	10	6
26	0126-0431	2539.379	87.266	431.000	170.000	85.727	43.290	1	5	4
27	0380-0176	3284.783	77.624	167.000	419.000	87.045	57.224	3	5	2
28	0436-0199	3538.921	79.787	162.000	431.500	159.066	64.017	11	18	7
29	0437-0259	1691.919	62.172	260.000	467.500	81.674	36.130	0	6	6
30	0350-0217	2241.217	73.630	214.000	385.500	76.247	46.967	3	5	2
31	0304-0183	2872.560	79.829	155.000	339.000	53.920	54.859	3	9	6
32	0263-0143	1801.978	64.864	132.000	294.000	70.168	44.063	4	7	3
33	0379-0113	2042.109	62.387	87.000	363.000	138.900	45.850	2	7	5
34	0328-0098	1432.778	54.954	84.000	308.500	130.941	34.344	1	2	1
35	0324-0129	1563.849	52.704	111.000	304.000	133.847	38.429	1	3	2
36	0286-0054	2050.113	69.546	28.500	258.500	130.333	38.898	3	4	1
37	0228-0075	5916.212	97.405	27.500	217.000	166.035	79.974	3	7	4
38	0185-0146	2411.309	72.878	117.500	156.000	140.849	50.548	6	9	3
39	0183-0062	2720.477	79.281	30.000	214.500	29.476	46.804	1	2	1
40	0087-0123	5428.947	97.398	89.000	49.000	131.878	74.939	10	19	9
41	0084-0205	5255.853	97.443	166.000	119.000	35.811	77.753	10	15	5
42	0145-0151	1706.927	51.478	141.500	124.000	122.300	45.904	8	11	3
43	0111-0237	346.188	26.180	242.500	98.500	96.582	20.005	0	2	2
44	0116-0268	2068.123	72.907	248.500	84.500	120.964	36.715	1	5	4
45	0081-0294	3361.825	82.223	253.500	67.500	170.194	64.655	4	6	2
46	0123-0087	3533.919	116.956	69.000	68.500	110.527	50.540	4	8	4
