 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0002-0032	367.199	39.304	197	51	75.256	13.440	1	2	1
2	0003-0055	1678.911	70.475	377	20	96.520	29.170	4	5	1
3	0004-0068	563.306	56.901	22	96	79.875	17.595	0	2	2
4	0006-0098	1879.020	87.579	256	141	76.122	27.701	1	1	0
5	0007-0092	946.514	61.677	280	123	81.607	27.767	1	3	2
6	0009-0122	1543.838	73.027	158	87	103.465	32.676	0	6	6
7	0010-0131	1334.725	69.740	10	166	81.754	28.008	2	2	0
8	0012-0127	344.187	27.521	125	114	109.093	15.004	0	1	1
9	0013-0181	6209.371	136.052	262	245	70.233	69.019	3	9	6
10	0014-0184	5002.716	119.469	102	126	101.592	63.895	0	3	3
11	0016-0183	740.402	54.439	179	158	110.433	20.220	1	2	1
12	0018-0267	2037.106	95.734	186	220	100.840	29.308	4	9	5
13	0019-0276	2227.209	107.309	95	225	106.239	29.914	3	5	2
14	0022-0278	1438.781	56.866	128	253	129.289	34.702	4	7	3
15	0023-0313	4265.316	118.902	219	372	79.824	44.012	3	4	1
16	0024-0338	2205.197	102.209	83	288	101.860	34.009	4	7	3
17	0026-0368	3514.908	104.766	414	317	100.452	45.012	18	28	10
18	0027-0361	1916.040	85.023	194	319	98.797	30.647	9	12	3
19	0028-0341	261.142	27.521	63	354	70.907	12.003	1	1	0
20	0030-0392	3257.769	90.645	302	350	112.036	49.257	5	6	1
21	0031-0404	5010.720	100.909	33	453	72.104	64.695	2	4	2
22	0032-0386	822.447	42.213	269	366	103.707	25.981	2	3	1
23	0033-0384	225.122	25.639	281	396	69.444	11.003	3	1	-2
24	0035-0395	100.054	14.870	221	400	42.274	10.003	2	1	-1
25	0037-0435	1764.958	93.256	103	392	112.714	25.062	4	7	3
26	0038-0429	1117.607	42.213	208	422	166.293	40.011	2	3	1
27	0039-0448	1813.985	78.021	257	412	112.620	34.903	10	15	5
28	0041-0424	56.030	10.633	283	420	131.186	7.002	1	0	-1
29	0043-0468	1851.005	77.435	307	434	118.551	39.838	3	4	1
30	0044-0457	365.198	31.057	166	472	75.069	15.004	0	2	2
31	0046-0471	516.280	42.965	246	452	114.775	20.636	1	1	0
32	0213-0226	3723.021	87.906	212.500	175	115.982	53.255	4	11	7
33	0286-0285	2595.409	90.049	282.500	241.500	100.561	40.499	1	1	0
34	0239-0343	3607.959	91.000	317.500	205	129.201	62.103	1	2	1
35	0339-0272	517.281	47.460	263.500	362.500	82.126	20.296	1	1	0
36	0368-0166	3458.878	134.381	155.500	302.500	101.812	35.128	43	45	2
37	0456-0214	129.070	17.619	213.500	447.500	96.520	9.503	1	1	0
38	0429-0143	215.117	25.468	136	417.500	109.502	11.991	7	4	-3
39	0380-0138	3302.793	109.498	124.500	330.500	111.996	44.882	3	3	0
40	0447-0097	1251.680	58.789	88	418.500	99.302	29.179	1	2	1
41	0400-0092	190.103	26.026	93.500	387	92.203	10.010	3	1	-2
42	0327-0351	6843.715	120.033	325	277	126.870	94.116	7	10	3
43	0270-0414	4451.417	137.606	376	213	124.037	57.024	2	4	2
44	0140-0349	6462.509	127.046	348	203	82.763	64.406	2	4	2
45	0120-0409	2128.155	65.508	391	153	82.983	49.826	9	14	5
46	0224-0430	6170.350	168.631	415	144	107.253	54.790	2	10	8
47	0111-0210	4495.441	112.316	206	55	94.086	63.012	4	4	0
48	0182-0156	2360.281	90.783	142	139	108.635	40.757	3	6	3
49	0256-0058	4747.577	126.038	62	319	89.545	47.013	3	8	5
50	0066-0094	7845.259	131.070	71	130	79.891	82.870	6	9	3
51	0087-0235	2703.468	115.984	221	31	102.958	31.729	0	2	2
52	0442-0383	7945.314	134.773	359	382	114.092	78.452	4	7	3
53	0071-0420	2143.164	83.701	413	31	104.534	36.613	3	11	8
54	0059-0312	2474.343	80.644	295	21	113.385	42.568	0	2	2
