 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0001-0042	2861.554	80.675	415	80	70.442	46.505	0	1	1
2	0002-0039	1375.747	57.470	45	14	121.477	34.007	2	2	0
3	0003-0044	2068.123	64.640	283	74	68.199	48.013	8	13	5
4	0004-0045	1101.598	57.990	492	73	75.005	25.007	1	2	1
5	0005-0058	1818.988	62.954	339	28	107.571	37.010	0	0	0
6	0006-0076	3249.764	94.281	150	32	107.281	48.348	0	1	1
7	0007-0055	1038.564	53.503	465	80	69.193	24.626	2	6	4
8	0008-0049	857.466	43.578	83	31	121.866	30.521	1	4	3
9	0009-0064	1471.799	62.659	371	94	73.301	33.009	4	4	0
10	0011-0068	1096.595	57.287	39	40	102.095	27.357	0	0	0
11	0013-0047	85.046	13.457	400	52	48.013	9.002	1	1	0
12	0014-0077	1395.758	61.115	303	105	68.895	34.009	3	4	1
13	0015-0085	1372.745	49.258	79	61	102.907	38.562	1	3	2
14	0016-0090	506.275	34.549	477	106	67.891	20.990	0	1	1
15	0017-0093	532.289	32.766	453	79	121.264	23.006	0	0	0
16	0018-0114	3047.655	70.475	249	111	173.480	60.662	7	8	1
17	0019-0106	981.533	46.885	200	129	78.930	28.785	2	4	2
18	0020-0100	872.474	42.650	413	83	129.289	33.753	0	3	3
19	0022-0107	709.385	42.650	371	123	50.711	25.894	2	6	4
20	0023-0112	1255.682	46.338	340	131	57.339	37.010	3	4	1
21	0024-0135	3115.692	84.035	398	177	81.098	53.014	0	0	0
22	0025-0117	1143.621	47.183	58	96	122.005	34.009	1	1	0
23	0026-0135	1464.795	56.628	441	162	72.525	34.779	3	3	0
24	0027-0135	1248.678	57.600	467	162	69.677	29.652	0	1	1
25	0028-0138	1706.927	54.933	225	111	100.491	41.336	1	1	0
26	0029-0161	2144.164	76.139	179	124	99.834	36.010	1	2	1
27	0030-0148	1230.668	48.839	346	166	55.008	35.419	4	8	4
28	0031-0144	830.451	36.065	307	152	33.690	31.313	2	4	2
29	0032-0179	3469.884	91.118	46	136	107.241	54.015	0	0	0
