 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0001-0035	1228.667	49.054	101	55	50.793	36.010	0	1	1
2	0002-0065	1513.822	53.550	396	54	147.200	37.141	7	11	4
3	0003-0071	527.286	33.311	101	61	138.652	25.007	0	2	2
4	0004-0089	912.495	50.343	388	66	110.956	26.007	0	2	2
5	0005-0077	133.072	15.625	201	72	140.194	12.003	0	1	1
6	0006-0119	2625.425	99.345	339	164	64.983	38.737	16	27	11
7	0007-0112	1905.034	80.084	190	77	117.525	47.049	4	8	4
8	0008-0108	1008.548	42.461	38	129	74.982	33.982	0	0	0
9	0010-0124	653.355	41.641	267	105	114.102	20.801	2	16	14
10	0011-0134	1311.712	47.815	368	146	37.349	38.471	5	5	0
11	0012-0129	504.274	35.365	14	114	118.740	19.683	1	1	0
12	0013-0127	77.042	12.810	168	131	38.660	8.002	1	0	-1
13	0014-0147	1019.554	42.813	184	134	142.595	33.399	3	6	3
14	0015-0156	1555.845	61.928	30	182	58.878	36.882	2	2	0
15	0016-0146	501.272	31.409	159	158	52.765	21.006	4	9	5
16	0018-0180	2205.197	63.994	344	166	155.037	49.091	0	3	3
17	0019-0185	1222.664	59.791	67	156	107.526	26.819	0	3	3
18	0020-0196	1271.690	72.711	218	232	82.093	30.008	2	2	0
19	0021-0186	1259.684	52.816	244	207	52.696	36.780	11	13	2
20	0022-0196	1466.796	60.050	186	225	60.018	32.009	4	7	3
21	0024-0206	892.485	43.875	45	186	114.228	27.469	1	2	1
22	0025-0196	70.038	12.045	129	200	41.634	8.002	0	0	0
23	0026-0218	1218.662	51.492	258	241	65.925	36.780	1	1	0
24	0027-0211	461.250	27.792	110	221	30.256	23.006	1	1	0
25	0028-0230	1664.904	64.430	422	200	117.759	40.529	2	6	4
26	0029-0260	2967.611	102.488	259	308	65.186	43.006	0	1	1
27	0030-0238	1399.760	48.716	123	252	19.179	41.464	1	4	3
28	0032-0240	657.357	39.571	76	259	69.274	25.007	5	6	1
29	0033-0272	3827.078	90.451	176	234	119.116	59.016	0	1	1
30	0034-0259	782.425	52.787	227	285	80.181	19.005	1	8	7
31	0035-0267	1404.763	66.629	240	234	97.765	29.445	1	1	0
32	0036-0251	363.197	31.789	98	266	65.854	17.616	0	3	3
33	0037-0254	425.231	34.215	398	268	52.125	19.097	1	3	2
34	0038-0281	1647.895	56.478	148	307	67.068	44.489	1	2	1
35	0039-0285	1745.948	60.456	325	256	106.336	39.509	9	11	2
36	0040-0277	619.336	35.857	412	294	67.011	24.007	0	1	1
37	0041-0282	1403.762	47.940	356	274	156.644	38.010	6	10	4
38	0042-0274	257.140	23.266	116	264	115.463	14.995	0	0	0
39	0043-0313	2463.337	65.386	100	345	60.690	53.014	2	2	0
40	0044-0316	2115.148	59.253	264	315	158.199	52.255	2	2	0
41	0045-0309	718.390	36.888	403	296	139.399	28.008	0	0	0
42	0046-0327	1931.048	62.258	353	347	46.302	48.760	9	11	2
43	0047-0342	3235.757	82.588	37	382	73.101	56.015	2	2	0
44	0048-0312	137.074	18.873	246	304	122.005	10.438	2	1	-1
45	0049-0331	1112.604	52.816	220	356	65.376	27.945	1	1	0
46	0050-0323	297.161	30.684	81	309	109.026	12.873	0	0	0
47	0051-0339	1912.038	58.616	143	366	64.747	48.572	6	10	4
48	0052-0330	934.507	42.732	174	315	147.426	31.008	5	13	8
49	0053-0332	470.255	30.471	400	318	113.199	22.006	1	2	1
50	0054-0329	369.200	26.256	324	319	130.365	20.005	1	1	0
51	0055-0356	1671.908	65.813	252	326	114.228	35.380	3	5	2
52	0056-0333	56.030	10.633	70	329	131.186	7.002	0	0	0
53	0057-0351	519.282	33.535	387	367	72.646	23.006	1	6	5
54	0058-0381	2314.256	72.821	190	416	74.055	45.012	2	4	2
55	0059-0358	544.296	35.619	288	347	141.843	22.006	1	2	1
56	0060-0396	1523.827	52.512	288	377	130.365	39.813	14	23	9
57	0061-0418	1305.709	62.258	265	389	113.682	27.072	11	18	7
58	0062-0411	373.203	25.561	329	400	120.579	20.005	2	3	1
59	0063-0439	1196.650	60.432	351	469	77.574	28.451	5	14	9
60	0064-0423	119.065	15.625	17	429	39.806	11.003	2	1	-1
61	0065-0446	879.477	50.935	208	422	109.502	26.007	1	2	1
62	0067-0442	686.373	40.260	480	424	116.565	23.006	2	3	1
63	0068-0466	1965.067	73.702	197	430	97.800	38.010	2	2	0
64	0069-0469	727.395	43.186	284	490	76.608	20.005	7	22	15
65	0185-0292	622.338	37.010	288	168	108.925	23.375	0	11	11
66	0159-0313	761.413	36.888	300	166	40.601	28.852	6	9	3
67	0119-0310	1408.765	53.156	304	94	109.799	38.471	5	13	8
68	0084-0279	812.441	36.410	274	102	74.055	30.371	11	22	11
69	0078-0232	647.351	42.732	214	87	32.574	22.634	5	7	2
70	0046-0267	662.360	37.132	262	65	85.365	25.831	6	18	12
71	0065-0326	2860.553	87.156	327	22	99.246	48.013	2	3	1
72	0211-0332	2547.383	79.928	323	251	81.363	50.380	1	2	1
73	0234-0376	2770.504	86.395	344	265	47.816	47.995	2	5	3
74	0377-0356	2663.446	73.946	326	346	149.967	49.049	0	1	1
75	0368-0236	717.389	38.650	233	387	79.563	27.007	2	12	10
76	0402-0230	909.494	39.457	212	417	30.466	32.655	3	11	8
77	0421-0121	1254.681	57.739	110	449	75.964	30.008	3	3	0
78	0390-0154	1004.545	44.789	148	410	60.573	32.509	1	1	0
79	0368-0124	773.420	39.973	113	351	121.701	26.840	0	2	2
80	0197-0162	1816.986	72.711	166	233	82.093	36.854	5	6	1
81	0090-0168	1214.659	58.480	166	119	77.152	30.641	1	2	1
82	0114-0122	1855.007	67.138	109	144	61.526	39.365	1	3	2
83	0035-0196	304.165	28.800	183	39	20.323	16.091	0	1	1
84	0019-0191	210.114	20.229	181	18	8.531	15.816	0	4	4
85	0157-0434	3359.824	83.191	419	196	71.783	56.364	1	1	0
86	0110-0425	766.416	43.921	416	129	59.931	29.008	0	4	4
87	0061-0470	1179.640	52.369	447	78	28.523	33.562	2	2	0
88	0043-0366	1658.901	63.618	347	18	126.690	35.276	0	5	5
89	0023-0397	1021.555	46.885	388	0	101.070	28.008	8	13	5
90	0226-0474	2504.360	86.308	468	183	94.653	38.918	1	1	0
91	0297-0453	1979.074	73.457	445	261	96.254	35.010	0	4	4
92	0372-0421	2963.609	94.217	426	419	86.348	46.888	0	1	1
93	0435-0400	3420.857	95.157	393	388	93.013	55.939	1	6	5
94	0387-0460	526.286	39.215	447	370	127.747	23.806	0	0	0
95	0485-0364	966.525	49.743	362	509	74.846	30.462	1	5	4
96	0465-0327	2852.549	77.300	317	503	79.563	48.823	6	11	5
97	0437-0309	364.198	42.213	293	450	36.327	14.466	0	1	1
