 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0001-0009	1025.557	50.635	209	18	57.095	30.008	2	2	0
2	0002-0010	1188.145	45.906	37	2	119.358	35.010	1	1	0
3	0003-0009	906.742	43.023	68	16	54.462	27.507	1	2	1
4	0004-0022	4658.779	103.741	373	42	74.624	57.516	5	5	0
5	0005-0026	6122.074	117.212	341	49	78.930	67.518	4	4	0
6	0006-0010	687.873	39.062	123	16	50.194	25.007	1	1	0
7	0007-0010	931.756	48.554	81	16	34.509	27.507	1	2	1
8	0008-0015	931.756	53.692	273	25	62.241	23.047	0	0	0
9	0009-0025	2051.114	83.126	283	41	68.839	34.122	2	2	0
10	0010-0017	575.312	35.541	218	23	50.711	22.506	1	1	0
11	0011-0028	2513.865	80.722	240	44	73.811	42.512	1	1	0
12	0012-0020	856.715	41.014	48	26	37.569	30.008	0	0	0
13	0013-0023	1281.946	57.570	151	33	55.620	32.699	0	2	2
14	0014-0017	306.416	24.755	446	14	135.000	17.505	1	1	0
15	0015-0043	10962.201	151.554	399	66	52.374	99.180	3	5	2
16	0016-0020	306.416	24.755	93	17	135.000	17.505	1	1	0
17	0017-0028	1338.227	62.717	259	40	66.501	26.789	2	2	0
18	0018-0045	7797.984	143.957	448	73	72.824	80.108	4	4	0
19	0019-0025	869.222	41.014	124	32	52.431	27.507	1	2	1
20	0020-0028	1331.973	53.517	26	20	127.405	38.146	3	3	0
21	0021-0026	687.873	40.708	194	32	42.510	26.524	1	1	0
22	0022-0027	544.045	32.024	138	32	51.340	22.506	1	1	0
23	0023-0029	975.530	42.512	182	37	61.928	30.008	1	1	0
24	0024-0030	812.941	42.585	3	35	40.236	30.008	0	1	1
25	0025-0044	5578.028	105.533	309	65	76.293	70.019	6	6	0
26	0026-0031	575.312	35.541	162	37	50.711	22.506	1	1	0
27	0027-0036	1125.611	53.692	388	46	62.241	29.425	1	1	0
28	0028-0033	306.416	24.755	104	30	135.000	17.505	0	0	0
29	0029-0037	1006.797	42.585	222	32	130.236	30.008	1	1	0
30	0030-0038	556.552	35.541	114	44	50.711	22.506	1	1	0
31	0031-0041	637.846	36.065	84	35	123.690	22.506	1	1	0
32	0032-0041	625.339	35.541	193	45	39.289	25.007	1	1	0
33	0033-0044	1156.878	43.744	16	52	59.036	35.010	2	2	0
34	0034-0044	944.263	46.110	129	51	49.399	30.008	1	1	0
35	0035-0050	1263.186	64.097	502	62	69.444	22.506	1	1	0
36	0036-0047	900.489	45.974	145	39	112.380	22.506	2	2	0
37	0037-0053	2188.688	75.062	55	66	60.018	38.802	2	3	1
38	0038-0051	1275.693	54.901	165	61	59.931	33.776	2	2	0
39	0039-0054	1513.322	58.164	176	65	64.537	35.585	1	1	0
40	0040-0047	306.416	24.755	493	44	135.000	17.505	0	1	1
41	0041-0056	1550.842	52.574	213	47	115.346	37.510	1	1	0
42	0042-0059	1832.245	67.333	244	71	58.671	42.512	0	0	0
43	0043-0054	744.154	39.062	373	60	50.194	27.507	1	1	0
44	0044-0054	662.860	37.175	24	60	42.274	27.507	1	1	0
45	0045-0054	481.511	32.024	264	59	51.340	20.005	0	0	0
46	0046-0071	3820.824	109.231	479	92	74.055	44.581	3	4	1
47	0047-0069	3526.915	104.011	286	51	117.181	55.646	3	3	0
48	0048-0059	350.190	26.583	107	55	131.186	17.505	1	1	0
49	0049-0064	1394.507	53.517	114	71	37.405	40.011	0	0	0
50	0050-0067	1519.575	67.333	130	79	58.671	33.138	1	2	1
51	0051-0060	306.416	24.755	37	57	135.000	17.505	0	0	0
52	0052-0062	387.710	28.292	228	66	45.000	20.005	1	1	0
53	0053-0067	931.756	40.322	155	60	119.745	30.008	1	1	0
54	0054-0081	3927.132	106.829	342	61	110.556	51.737	2	2	0
55	0055-0065	306.416	24.755	95	62	135.000	17.505	1	1	0
56	0056-0070	481.511	31.828	383	75	45.000	22.506	1	1	0
57	0057-0070	306.416	24.755	372	67	135.000	17.505	0	0	0
58	0058-0078	2026.100	68.026	459	89	53.973	45.012	1	2	1
59	0059-0072	387.710	28.292	190	76	45.000	20.005	0	1	1
60	0060-0074	631.593	38.171	503	81	58.392	20.005	1	2	1
61	0061-0089	3864.598	110.766	321	69	118.301	54.844	3	3	0
62	0062-0074	350.190	26.583	82	70	131.186	17.505	0	0	0
63	0063-0076	637.846	35.541	63	71	129.289	25.007	0	0	0
64	0064-0077	612.833	37.175	27	83	47.726	25.007	1	1	0
65	0065-0077	481.511	31.828	398	73	135.000	22.506	0	0	0
66	0066-0083	1638.389	59.018	433	73	126.384	40.011	1	1	0
67	0067-0081	1081.837	51.310	163	89	46.975	34.795	2	2	0
68	0068-0079	475.258	32.024	275	74	128.660	20.005	1	1	0
69	0069-0083	819.195	43.023	140	90	54.462	27.507	0	1	1
70	0070-0083	443.991	30.112	110	88	48.366	20.005	0	0	0
71	0071-0086	806.688	40.322	178	93	60.255	25.007	1	1	0
72	0072-0084	537.792	34.013	241	79	126.027	20.005	1	1	0
73	0073-0098	2951.602	97.109	420	79	101.889	37.510	2	2	0
74	0074-0088	850.462	41.620	91	95	57.265	27.507	1	1	0
75	0075-0100	3883.358	99.933	384	83	121.701	50.868	4	5	1
76	0076-0106	4858.888	119.537	494	83	105.781	59.966	5	5	0
77	0077-0088	431.484	30.112	30	92	41.634	20.005	1	1	0
78	0078-0100	2182.435	91.813	213	84	119.358	37.721	2	2	0
79	0079-0099	1056.824	53.866	370	89	111.801	24.678	1	1	0
80	0080-0099	1394.507	51.553	265	90	112.834	35.010	1	2	1
81	0081-0105	2582.652	78.483	284	91	112.479	45.012	2	2	0
82	0082-0102	1394.507	53.517	462	111	52.595	37.510	1	1	0
83	0083-0103	1000.543	44.734	149	111	63.435	27.507	2	2	0
84	0084-0107	1563.349	74.602	304	96	129.560	31.395	0	0	0
85	0085-0101	393.964	28.292	31	105	45.000	20.005	0	0	0
86	0086-0108	2926.589	76.055	99	111	27.408	55.917	1	1	0
87	0087-0101	350.190	26.583	164	97	131.186	17.505	0	0	0
88	0088-0112	3995.919	87.238	439	128	62.700	62.517	3	3	0
89	0089-0102	437.738	30.112	76	106	41.634	20.005	0	1	1
90	0090-0102	475.258	31.828	178	98	135.000	22.506	0	0	0
91	0091-0104	393.964	28.292	208	100	135.000	20.005	0	0	0
92	0092-0115	1800.978	65.210	244	126	57.529	37.510	1	1	0
93	0093-0111	487.765	30.525	16	106	124.992	20.005	0	1	1
94	0094-0114	1244.426	47.183	352	122	57.995	35.010	2	2	0
95	0095-0118	1600.869	71.083	124	129	50.711	34.009	1	1	0
96	0096-0115	1031.810	46.110	159	109	139.399	32.509	1	1	0
97	0097-0119	1732.190	52.752	67	110	121.430	45.012	1	1	0
98	0098-0117	694.127	37.510	47	111	126.870	25.007	1	1	0
99	0099-0127	3658.236	89.537	462	141	54.090	67.733	4	5	1
100	0100-0121	637.846	38.171	339	128	58.392	20.005	1	1	0
101	0101-0123	1119.358	46.983	378	132	64.799	30.008	1	1	0
102	0102-0123	1081.837	46.515	89	116	126.254	32.509	0	0	0
103	0103-0126	1056.824	45.082	18	119	123.690	30.008	1	1	0
104	0104-0130	1594.616	66.445	188	143	70.201	27.507	2	2	0
105	0105-0127	662.860	38.171	230	121	121.608	22.506	0	0	0
106	0106-0136	2620.173	75.062	277	123	119.982	47.513	2	2	0
107	0107-0128	425.231	30.112	364	133	48.366	20.005	1	1	0
108	0108-0133	1044.317	53.517	144	142	52.595	29.508	2	2	0
109	0109-0133	1150.625	46.110	46	127	130.601	37.510	1	1	0
110	0110-0130	387.710	28.292	163	134	45.000	20.005	1	1	0
111	0111-0140	2182.435	73.844	253	153	61.699	42.176	2	2	0
112	0112-0135	925.502	43.023	322	142	54.462	30.008	1	1	0
113	0113-0150	4633.766	112.308	413	128	101.560	51.309	3	3	0
114	0114-0143	1882.272	71.609	393	156	65.225	35.801	2	2	0
115	0115-0139	1288.199	46.515	203	146	36.254	37.510	2	2	0
116	0116-0138	887.982	39.539	128	132	124.695	30.008	2	2	0
117	0117-0144	1388.254	56.196	37	135	122.276	35.462	1	1	0
118	0118-0156	4608.752	117.425	487	177	63.435	58.974	0	0	0
119	0119-0141	712.887	37.175	84	136	132.274	27.507	0	0	0
