 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
300	0302-0367	1575.856	58.164	189	378	64.537	32.509	1	1	0
301	0303-0362	393.964	28.512	324	358	127.875	17.505	0	0	0
302	0304-0362	494.018	30.112	470	358	131.634	22.506	0	0	0
303	0305-0368	1338.227	56.196	119	359	122.276	32.509	1	1	0
304	0306-0369	519.032	33.643	209	374	48.013	22.506	1	1	0
305	0307-0380	2194.942	78.483	58	366	112.479	34.473	2	2	0
306	0308-0377	2738.987	84.062	351	370	149.621	48.758	1	1	0
307	0309-0375	3101.684	83.875	384	367	153.435	47.513	3	3	0
308	0310-0371	469.005	31.828	232	367	135.000	22.506	1	1	0
309	0311-0378	4033.440	96.592	253	384	21.251	57.516	1	1	0
310	0312-0372	481.511	30.525	419	369	145.008	20.005	0	1	1
311	0313-0377	2119.901	74.937	450	370	154.290	40.011	1	1	0
312	0314-0377	1094.344	43.023	334	384	54.462	35.010	1	1	0
313	0315-0387	4108.481	88.695	298	375	130.426	68.735	3	3	0
314	0316-0387	2076.127	69.661	216	400	68.962	40.011	0	1	1
315	0317-0379	537.792	33.643	27	375	138.013	22.506	0	0	0
316	0318-0387	2219.955	60.483	144	395	29.745	52.514	1	1	0
317	0319-0390	1788.471	64.049	38	400	51.340	42.438	1	1	0
318	0320-0388	1300.706	50.014	443	380	126.870	37.510	1	1	0
319	0321-0393	4202.281	88.695	79	389	158.499	60.016	3	3	0
320	0322-0384	306.416	24.755	429	381	135.000	17.505	1	1	0
321	0323-0385	506.525	31.828	479	381	135.000	22.506	1	1	0
322	0324-0391	1588.362	62.116	15	382	130.101	38.356	1	1	0
323	0325-0387	494.018	32.024	201	392	51.340	20.005	1	1	0
324	0326-0393	1957.313	64.535	174	384	144.462	43.941	1	1	0
325	0327-0389	525.285	33.643	228	394	48.013	22.506	0	0	0
326	0328-0402	3220.498	96.495	348	386	121.218	51.110	2	2	0
327	0329-0395	1807.231	60.535	416	387	141.710	44.354	2	2	0
328	0330-0393	1131.864	50.635	120	399	32.905	32.509	1	1	0
329	0331-0392	719.140	39.062	459	398	39.806	27.507	0	0	0
330	0332-0401	2107.394	66.020	377	394	142.696	49.341	1	1	0
331	0333-0407	3251.765	82.825	334	393	118.887	54.799	3	3	0
332	0334-0400	700.380	35.541	266	397	140.711	27.507	1	1	0
333	0335-0401	862.969	39.539	291	408	55.305	30.008	0	0	0
334	0336-0405	1350.733	50.635	161	400	147.095	37.133	1	2	1
335	0337-0416	3601.956	93.634	62	402	124.114	55.791	4	4	0
336	0338-0417	4139.747	98.038	436	435	52.253	61.232	2	4	2
337	0339-0406	731.647	40.708	227	412	42.510	27.507	0	0	0
338	0340-0415	2026.100	76.219	463	427	48.991	40.670	0	0	0
339	0341-0411	881.729	42.585	42	417	40.236	30.008	0	0	0
340	0343-0413	1163.131	46.110	485	421	40.601	35.010	1	2	1
341	0344-0416	1888.525	57.024	20	422	37.875	47.513	1	3	2
342	0345-0420	3570.689	83.239	174	428	32.735	60.016	4	4	0
343	0346-0414	881.729	42.585	420	408	130.236	30.008	0	0	0
344	0347-0417	2057.367	76.055	138	411	152.592	40.011	1	1	0
345	0348-0422	3645.729	101.177	256	409	140.013	58.352	2	2	0
346	0349-0417	1119.358	46.515	208	425	53.746	35.010	1	1	0
347	0350-0418	1375.747	56.694	91	426	41.424	37.510	0	0	0
348	0351-0424	2782.761	69.481	397	418	149.744	57.516	1	1	0
349	0352-0418	400.217	28.292	290	414	135.000	20.005	0	0	0
350	0353-0425	2438.824	66.586	376	414	124.287	50.014	3	5	2
351	0354-0429	3276.779	74.937	115	416	115.710	57.516	2	2	0
352	0355-0429	1475.801	48.102	52	421	117.897	40.011	0	0	0
353	0356-0427	306.416	24.755	37	424	135.000	17.505	0	0	0
354	0357-0429	393.964	28.512	251	425	127.875	17.505	0	0	0
355	0358-0433	1181.892	47.775	328	440	42.879	35.010	1	1	0
356	0359-0439	2901.575	75.020	354	427	126.870	55.015	2	2	0
357	0360-0433	694.127	36.065	241	427	123.690	25.007	0	0	0
358	0361-0441	1894.779	73.547	147	453	54.689	36.323	1	2	1
359	0362-0434	544.045	32.024	470	429	128.660	22.506	0	0	0
360	0363-0436	750.407	37.510	314	442	53.130	27.507	0	0	0
361	0364-0437	862.969	38.171	90	431	121.608	30.008	0	0	0
362	0365-0446	1844.752	67.333	169	434	111.801	35.010	3	3	0
363	0366-0447	3101.684	81.416	208	457	42.510	60.016	3	5	2
364	0367-0449	3120.444	77.238	414	463	60.945	64.024	3	4	1
365	0368-0441	437.738	30.112	32	437	138.366	20.005	0	0	0
366	0369-0457	5134.037	106.829	69	437	110.556	77.218	4	6	2
367	0370-0442	625.339	35.541	255	437	129.289	25.007	0	0	0
368	0371-0448	1507.068	62.517	189	458	53.130	37.510	1	1	0
369	0372-0447	1150.625	52.574	454	457	64.654	27.507	1	1	0
370	0373-0450	2445.077	69.526	274	439	127.694	52.514	3	4	1
371	0374-0461	5296.626	118.036	379	441	126.384	61.020	2	2	0
372	0375-0453	2520.118	70.064	295	441	124.824	45.012	2	2	0
373	0376-0451	1338.227	56.694	46	443	131.424	33.597	1	1	0
374	0377-0455	2294.996	63.263	236	467	71.565	50.927	1	1	0
375	0379-0457	1907.285	64.097	105	445	110.556	37.510	2	2	0
376	0380-0458	2926.589	70.464	323	446	117.474	55.015	3	3	0
377	0382-0453	644.100	35.541	156	459	50.711	25.007	1	1	0
378	0383-0462	2857.802	80.061	22	452	141.340	49.908	1	1	0
379	0384-0464	3076.670	79.473	434	450	114.146	55.015	0	0	0
380	0385-0467	2738.987	84.618	343	453	124.160	50.014	2	2	0
381	0386-0473	3314.299	94.365	366	458	122.005	51.181	4	4	0
382	0387-0473	2257.476	67.100	254	461	116.565	46.682	2	2	0
383	0388-0474	2438.824	70.464	195	462	117.474	42.512	2	2	0
384	0389-0466	443.991	30.112	459	462	131.634	20.005	0	0	0
385	0390-0472	1532.082	56.196	178	463	122.276	35.010	0	0	0
386	0391-0473	1600.869	58.164	270	463	115.463	37.510	0	1	1
387	0392-0475	2182.435	67.333	152	464	121.329	50.014	1	1	0
388	0393-0470	650.353	39.539	494	464	124.695	22.506	1	1	0
389	0394-0480	2576.399	80.061	53	496	75.530	50.014	0	1	1
390	0395-0477	1988.580	61.049	216	488	55.008	42.512	2	2	0
391	0396-0479	1663.403	53.866	93	469	111.801	40.011	2	2	0
392	0397-0476	944.263	44.523	306	470	141.843	30.008	1	1	0
393	0398-0489	2951.602	75.932	290	504	72.759	52.514	4	4	0
394	0399-0488	3720.770	94.531	324	476	142.524	57.178	3	3	0
395	0400-0481	525.285	32.605	148	476	122.471	20.005	0	1	1
396	0401-0487	3007.883	84.062	414	478	149.621	50.232	2	2	0
397	0402-0486	2657.693	77.682	464	478	146.821	47.513	0	1	1
398	0403-0488	1400.760	59.650	237	478	123.024	33.880	1	2	1
399	0404-0484	393.964	28.292	121	480	135.000	20.005	0	1	1
400	0405-0484	306.416	24.755	70	481	135.000	17.505	0	0	0
401	0406-0485	431.484	30.112	451	490	48.366	20.005	0	0	0
402	0407-0491	881.729	41.014	173	485	127.569	30.008	1	1	0
403	0408-0493	1025.557	43.023	312	486	125.538	32.509	1	1	0
404	0409-0500	2182.435	63.114	218	493	146.310	47.513	3	3	0
405	0410-0500	387.710	28.292	71	504	45.000	20.005	0	0	0
