 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0001-0042	2641.434	80.830	224	82	77.856	44.074	0	0	0
2	0002-0038	2311.255	70.539	120	72	71.822	45.715	2	2	0
3	0003-0056	2144.164	74.545	73	20	101.611	39.539	1	1	0
4	0004-0086	5064.750	129.874	184	23	102.002	63.447	1	3	2
5	0005-0058	2065.121	71.188	298	92	72.838	45.181	1	1	0
6	0006-0055	2215.203	65.965	338	79	40.696	44.697	2	3	1
7	0007-0071	1539.836	65.783	35	39	98.746	32.009	1	1	0
8	0008-0062	687.373	41.892	254	80	56.689	24.584	1	3	2
9	0009-0089	855.464	45.893	202	67	106.460	26.862	0	2	2
10	0010-0080	117.064	16.129	60	73	119.745	9.002	0	0	0
11	0011-0109	2200.194	72.200	131	145	79.624	37.920	1	1	0
12	0012-0105	1445.785	65.760	357	135	63.825	38.873	0	2	2
13	0013-0126	3534.919	107.048	290	175	66.309	49.868	1	4	3
14	0014-0100	1021.555	42.461	269	121	74.982	35.010	2	2	0
15	0015-0098	706.383	39.368	229	116	62.784	24.633	1	3	2
16	0016-0117	2072.125	66.426	89	149	71.565	42.011	1	1	0
17	0018-0117	806.438	58.205	435	145	70.942	19.928	1	1	0
18	0020-0136	1755.953	53.175	242	162	73.610	44.012	3	3	0
19	0023-0167	1510.820	69.481	156	133	96.613	31.597	6	9	3
20	0024-0156	341.185	28.468	119	143	108.435	15.004	1	1	0
21	0025-0183	1652.897	72.587	16	219	78.071	28.008	2	2	0
22	0026-0198	3522.913	97.191	213	246	81.119	46.491	0	0	0
23	0027-0197	2853.549	88.098	88	240	77.542	39.318	2	2	0
24	0028-0189	2367.285	68.371	434	157	110.556	49.051	1	1	0
25	0029-0187	1231.669	49.833	267	212	79.592	33.901	1	1	0
26	0030-0219	1676.910	84.717	271	258	67.068	29.032	0	1	1
27	0031-0206	900.489	49.743	119	230	74.846	24.731	1	1	0
28	0032-0213	1268.689	53.381	354	239	77.005	34.009	1	1	0
29	0033-0219	489.266	34.185	250	203	110.556	21.006	0	0	0
30	0034-0230	1034.562	48.850	419	209	137.490	34.734	1	1	0
31	0035-0253	2869.558	85.399	41	212	103.548	42.689	3	4	1
32	0036-0241	1292.702	55.800	326	268	75.466	30.008	1	2	1
33	0037-0266	2740.488	92.567	303	312	83.797	54.464	3	4	1
34	0038-0253	658.357	43.612	352	270	53.393	22.455	1	2	1
