 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0001-0097	6359.453	140.509	418	159	61.975	67.548	1	1	0
2	0002-0150	1460.793	83.784	86	186	56.689	25.491	1	1	0
3	0003-0209	10527.716	174.234	308	275	56.949	78.480	3	3	0
4	0004-0236	2457.334	92.616	40	277	62.328	35.743	3	3	0
5	0005-0325	9237.015	151.863	401	255	109.628	94.109	2	3	1
6	0006-0287	1132.615	65.018	218	314	53.130	25.259	0	1	1
7	0007-0288	692.376	48.891	362	309	59.237	21.025	0	0	0
8	0008-0309	3982.162	97.212	95	345	49.591	57.850	1	1	0
9	0009-0327	4690.547	95.367	304	281	102.724	71.085	3	3	0
10	0010-0289	77.042	12.045	85	285	131.634	9.002	1	1	0
11	0179-0287	8511.621	182.173	243	255	61.465	70.854	6	9	3
12	0168-0222	7840.257	175.823	180	247	62.560	66.704	2	2	0
13	0291-0282	1172.637	50.263	274	266	95.711	31.938	2	3	1
14	0323-0238	5154.799	119.703	185	356	48.048	76.518	3	4	1
15	0439-0274	10281.582	143.332	259	509	72.956	93.454	3	11	8
16	0397-0218	1838.998	71.329	195	364	112.249	42.091	0	1	1
17	0290-0200	3898.116	102.931	177	333	55.692	63.657	2	6	4
18	0198-0133	12117.579	186.169	81	281	61.783	90.861	4	4	0
19	0377-0058	2204.197	102.033	18	412	37.432	42.507	2	3	1
20	0373-0137	4190.275	115.915	113	425	61.666	56.326	0	1	1
21	0435-0168	10160.516	140.470	176	505	85.507	104.714	3	3	0
22	0070-0301	6838.713	143.332	275	139	72.956	74.300	4	4	0
