 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Perinuclei
394	IIb	304.853	36.136	610	1181	127.266	15.526	NaN
395	I	2247.316	71.570	351	1211	162.198	45.637	NaN
396	I/IIa	1532.474	50.716	1262	1255	59.642	41.099	NaN
397	I	1857.651	70.522	1584	1202	167.196	37.579	NaN
398	IIb	98.882	19.014	856	1213	46.332	8.104	NaN
399	IIa	1625.493	53.374	1988	1274	76.452	42.418	NaN
400	IIb	99.664	16.833	209	1192	158.199	7.502	NaN
401	I/IIa	1227.230	50.889	1458	1205	127.011	34.292	NaN
402	I	2470.093	64.283	976	1269	40.662	53.962	NaN
403	I	578.049	34.435	914	1221	15.803	25.879	NaN
404	I/IIa	1569.603	58.231	1360	1219	165.069	38.523	NaN
405	I	1610.641	77.733	876	1211	101.129	36.519	NaN
406	IIb	66.052	12.888	1707	1226	22.834	6.252	NaN
407	IIx	40.256	8.503	647	1237	36.027	6.252	NaN
408	IIb	221.605	21.747	1733	1244	18.435	15.274	NaN
409	I/IIa	1826.384	65.881	1748	1259	170.716	40.504	NaN
410	I/IIa	2290.699	59.693	592	1240	136.273	52.927	NaN
411	I/IIa	1933.082	67.246	1637	1266	5.870	38.927	NaN
412	I/IIa	2209.795	65.237	1146	1232	129.946	48.426	NaN
413	I/IIa	2129.673	67.019	1346	1232	104.036	44.283	NaN
414	I	310.716	25.201	253	1236	119.745	17.181	NaN
415	IIb	53.936	12.009	810	1250	51.340	7.278	NaN
416	I/IIa	2565.066	83.544	783	1370	84.417	44.678	NaN
417	I	3280.299	84.294	289	1366	69.146	58.723	NaN
418	I/IIa	3796.595	90.755	1835	1308	9.917	61.671	NaN
419	I/IIa	2124.983	64.268	1070	1248	127.093	48.238	NaN
420	I/IIa	1843.971	68.666	938	1357	79.509	34.305	NaN
421	IIa	2190.253	63.414	1587	1249	99.648	45.707	NaN
422	I/IIa	1859.214	62.928	1417	1345	69.044	41.158	NaN
423	I/IIa	2012.422	73.049	1520	1257	119.197	35.218	NaN
424	I/IIa	2314.149	72.328	360	1257	112.353	52.203	NaN
425	IIb	49.636	10.254	495	1272	52.431	6.877	NaN
426	I/IIa	1630.183	64.174	426	1352	54.917	34.723	NaN
427	I	899.317	50.049	842	1265	115.925	28.726	NaN
428	IIb	64.879	12.659	1242	1284	57.095	6.877	NaN
429	IIb	113.343	16.822	1259	1267	131.987	10.904	NaN
430	I/IIa	2751.496	93.671	538	1415	78.840	47.513	NaN
431	IIx	53.936	11.060	1734	1280	42.709	7.502	NaN
432	IIb	29.313	8.006	713	1279	38.660	5.001	NaN
433	IIb	60.971	12.409	729	1286	49.086	8.127	NaN
434	IIb	33.612	8.006	504	1283	51.340	5.627	NaN
435	IIb	50.809	10.177	1287	1287	47.490	6.877	NaN
436	I/IIa	1399.980	55.644	1465	1280	117.429	36.101	NaN
437	I/IIa	2548.260	80.533	955	1383	42.483	53.066	NaN
