 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0001-0061	6406.478	124.009	219	120	70.688	72.446	5	6	1
2	0002-0110	6206.369	155.335	401	33	97.400	70.475	2	4	2
3	0004-0176	228.124	19.703	498	185	66.038	16.004	0	0	0
4	0005-0291	2530.374	97.541	253	243	95.886	45.012	0	1	1
5	0006-0306	1763.958	79.501	472	269	111.400	33.366	1	4	3
6	0007-0320	95.052	15.268	300	316	148.392	8.002	1	0	-1
7	0008-0333	102.055	14.217	320	328	140.711	10.003	1	1	0
8	0156-0236	1769.961	69.279	234	122	94.970	36.010	2	7	5
9	0129-0271	2153.169	67.930	268	96	103.627	41.334	8	12	4
10	0200-0265	2364.284	80.421	258	240	84.289	38.010	1	2	1
11	0271-0283	1058.575	68.699	275	238	106.060	22.775	0	4	4
12	0251-0216	5347.903	141.700	214	182	103.055	59.016	2	3	1
13	0195-0185	2000.086	85.023	178	153	90.000	40.693	2	2	0
14	0253-0165	1929.047	86.424	150	212	106.128	28.233	2	3	1
15	0328-0177	883.480	58.838	174	300	107.819	24.672	0	0	0
16	0269-0122	6528.544	139.081	118	200	97.023	57.571	6	8	2
17	0288-0087	1031.560	53.240	79	264	115.602	28.234	2	5	3
18	0369-0116	2843.544	106.950	106	316	97.524	32.872	2	5	3
19	0391-0175	6419.485	132.810	151	326	101.733	70.384	4	6	2
20	0350-0218	5418.942	135.672	196	283	98.907	59.780	2	8	6
21	0382-0283	5106.772	110.524	272	436	68.776	63.562	1	7	6
22	0400-0326	2044.110	94.158	318	447	86.955	32.218	1	6	5
23	0201-0291	808.439	75.127	288	164	93.053	14.761	0	1	1
24	0226-0322	5565.021	170.894	304	311	84.289	51.928	2	4	2
25	0134-0197	2363.283	89.869	188	91	106.821	39.081	4	7	3
26	0077-0315	6615.592	155.438	276	13	121.849	62.395	1	3	2
27	0235-0356	7441.040	179.737	322	323	73.179	55.204	2	5	3
28	0352-0364	4202.281	107.519	369	300	102.355	54.679	3	5	2
29	0329-0394	1936.051	88.793	381	287	104.349	33.722	2	8	6
30	0236-0419	5339.899	113.190	382	281	56.170	65.513	0	5	5
31	0246-0474	1546.840	57.704	461	221	123.690	42.297	1	2	1
32	0084-0434	2287.242	107.309	417	33	106.239	33.717	4	11	7
33	0136-0476	2708.470	72.518	457	169	65.556	50.721	0	3	3
34	0063-0467	2057.117	68.429	464	97	74.745	40.650	1	1	0
35	0360-0456	8947.858	176.357	447	274	101.119	82.201	6	8	2
36	0466-0128	3511.907	88.228	101	506	57.031	54.828	0	5	5
37	0372-0067	4847.632	113.631	37	327	126.769	69.975	2	4	2
38	0313-0062	1905.034	63.806	31	310	166.399	42.599	1	3	2
39	0140-0143	5283.869	150.520	137	215	85.426	56.419	2	3	1
40	0080-0133	557.303	33.550	135	97	79.695	22.319	0	0	0
41	0242-0048	4327.349	98.870	41	194	101.083	59.467	4	4	0
42	0172-0096	2426.317	71.825	79	207	77.125	48.396	1	1	0
43	0148-0070	1652.897	91.813	63	194	82.488	26.029	1	4	3
44	0116-0047	5013.722	143.126	48	188	87.997	57.011	5	6	1
45	0097-0099	2285.241	80.246	99	57	94.289	35.010	2	2	0
