 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Perinuclei
118	Fiber Borders:0124-0190	35.778	8.750	432	200	40.365	7.000	NaN
119	Fiber Borders:0125-0198	48.000	10.414	244	185	129.806	6.364	NaN
120	Fiber Borders:0126-0196	41.444	8.800	165	207	52.696	7.000	NaN
121	Fiber Borders:0127-0196	34.222	9.220	215	207	49.399	5.798	NaN
122	Fiber Borders:0128-0192	11.444	4.807	282	186	123.690	3.000	NaN
123	Fiber Borders:0130-0203	57.222	10.296	54	217	60.945	7.333	NaN
124	Fiber Borders:0131-0196	17.556	5.935	408	190	141.843	4.000	NaN
125	Fiber Borders:0132-0196	16.222	6.119	91	200	29.358	3.333	NaN
126	Fiber Borders:0133-0198	14.000	5.207	379	193	140.194	3.667	NaN
127	Fiber Borders:0134-0202	23.667	6.667	148	194	126.870	5.333	NaN
128	Fiber Borders:0135-0199	11.667	5.185	395	194	135.000	3.536	NaN
129	Fiber Borders:0136-0204	20.222	7.211	22	195	123.690	4.000	NaN
130	Fiber Borders:0137-0205	22.444	6.200	120	197	126.254	4.667	NaN
131	Fiber Borders:0138-0206	21.222	6.146	190	212	40.601	4.667	NaN
132	Fiber Borders:0139-0203	10.556	4.534	351	208	36.027	3.000	NaN
133	Fiber Borders:0141-0213	43.111	9.068	4	202	126.027	7.000	NaN
134	Fiber Borders:0142-0210	22.778	6.263	236	202	115.201	4.667	NaN
135	Fiber Borders:0143-0216	54.111	10.462	265	210	157.521	7.883	NaN
136	Fiber Borders:0144-0211	24.667	7.542	468	203	135.000	5.270	NaN
137	Fiber Borders:0145-0211	15.111	5.676	427	205	130.236	3.667	NaN
138	Fiber Borders:0146-0216	31.556	9.339	371	205	124.824	5.202	NaN
139	Fiber Borders:0147-0211	11.333	4.955	72	217	47.726	3.333	NaN
140	Fiber Borders:0148-0221	48.000	10.176	329	234	58.392	7.000	NaN
141	Fiber Borders:0149-0220	46.000	11.667	213	210	143.130	6.757	NaN
142	Fiber Borders:0151-0217	19.667	6.403	351	211	141.340	4.333	NaN
143	Fiber Borders:0152-0225	50.556	10.382	127	215	132.397	7.518	NaN
144	Fiber Borders:0153-0222	30.444	7.601	247	231	52.125	5.903	NaN
145	Fiber Borders:0154-0221	17.000	5.676	315	215	130.236	4.000	NaN
146	Fiber Borders:0156-0226	30.222	8.647	298	215	117.553	5.333	NaN
147	Fiber Borders:0157-0223	11.444	5.000	195	217	126.870	3.000	NaN
148	Fiber Borders:0158-0235	135.111	20.309	54	224	156.801	9.947	NaN
149	Fiber Borders:0159-0225	16.111	5.270	486	230	34.695	4.000	NaN
150	Fiber Borders:0160-0232	32.667	9.006	110	222	128.991	5.310	NaN
151	Fiber Borders:0161-0231	15.111	5.676	206	225	130.236	4.000	NaN
152	Fiber Borders:0162-0235	42.333	9.718	350	241	30.964	6.488	NaN
153	Fiber Borders:0163-0236	28.333	8.062	422	226	119.745	5.488	NaN
154	Fiber Borders:0165-0240	56.333	10.630	456	228	131.186	8.333	NaN
