 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Perinuclei
233	IIa	645.664	41.024	878	498	97.883	22.506	NaN
234	IIa	1096.690	65.640	1841	503	139.635	27.049	NaN
235	IIa	678.494	45.069	1088	509	156.280	23.128	NaN
236	IIa	58.235	11.477	1001	518	60.642	6.252	NaN
237	IIx	1188.146	55.390	1634	521	159.520	31.379	NaN
238	IIa	394.355	31.089	1475	514	164.846	22.296	NaN
239	IIa	64.097	12.409	316	505	130.914	8.036	NaN
240	IIa	537.792	37.028	1383	512	168.311	19.721	NaN
241	IIa	1708.351	86.685	293	512	133.247	30.560	NaN
242	IIx	1204.170	66.647	1904	515	143.775	30.623	NaN
243	IIa	1282.338	57.383	785	587	29.358	35.102	NaN
244	IIx	100.445	14.541	1725	519	154.537	10.003	NaN
245	I	911.433	39.874	1276	530	138.814	33.071	NaN
246	I	153.208	16.822	1613	522	131.987	13.129	NaN
247	I	677.321	37.223	1023	535	150.852	27.464	NaN
248	IIx	446.727	33.579	1461	524	114.179	22.142	NaN
249	IIb	71.914	12.409	577	539	49.086	9.378	NaN
250	IIx	591.337	33.228	956	573	41.186	28.951	NaN
251	IIx	369.732	30.995	1226	527	138.270	22.122	NaN
252	I	1035.329	53.823	1523	539	149.265	32.713	NaN
253	IIx	1676.302	67.019	202	551	165.964	35.954	NaN
254	IIa	721.877	42.516	1735	544	160.233	26.613	NaN
255	IIa	972.404	60.535	682	538	141.710	23.793	NaN
256	IIa	752.753	52.365	1001	533	123.311	21.982	NaN
257	I	1263.187	64.623	1077	535	155.418	28.895	NaN
258	IIa	535.447	39.152	1329	535	128.517	25.147	NaN
259	I	1152.971	66.268	1572	536	148.109	29.366	NaN
260	IIa	112.952	14.595	1501	551	43.264	10.628	NaN
261	I	1068.550	57.151	628	554	149.789	31.146	NaN
262	IIa	912.215	47.389	577	549	143.584	27.074	NaN
263	I	1488.309	61.448	462	618	44.588	41.153	NaN
264	I	925.894	49.519	1379	546	133.977	29.664	NaN
265	IIa	620.650	46.216	923	551	120.033	17.820	NaN
266	IIa	1107.633	67.940	1803	548	153.199	31.390	NaN
267	IIb	88.329	14.913	551	553	146.976	9.226	NaN
268	IIa	642.146	37.175	1186	557	137.726	24.273	NaN
269	IIa	827.794	54.447	1660	557	158.443	24.998	NaN
270	IIa	55.890	10.609	1866	559	135.000	7.502	NaN
271	I/IIa	51.591	11.060	1922	560	132.709	7.502	NaN
272	IIx	869.223	43.403	981	629	78.366	31.688	NaN
273	IIx	161.025	18.766	1487	565	150.018	11.716	NaN
274	IIa	973.576	43.177	871	578	145.620	33.748	NaN
275	IIa	506.135	34.110	1231	564	131.285	22.449	NaN
276	IIa	578.439	42.553	1043	573	169.846	18.755	NaN
277	IIa	1171.340	50.403	804	628	43.995	34.948	NaN
278	IIx	1446.490	58.379	1762	581	133.264	39.011	NaN
279	IIa	492.846	34.042	1440	587	172.614	21.881	NaN
