 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0001-0068	3346.817	102.209	313	118	78.140	46.491	15	27	12
2	0002-0044	354.192	32.704	218	29	113.429	14.631	2	2	0
3	0003-0038	91.049	14.426	241	32	123.690	8.002	1	1	0
4	0004-0053	262.142	30.091	204	68	74.578	10.003	2	2	0
5	0005-0052	291.158	29.975	257	39	115.710	16.035	0	2	2
6	0006-0054	328.178	25.502	179	61	41.820	19.893	1	1	0
7	0007-0084	1575.856	72.200	347	49	100.376	26.625	25	44	19
8	0008-0086	519.282	38.481	178	69	117.897	19.408	2	7	5
9	0009-0079	127.069	18.793	167	71	115.201	8.002	3	2	-1
10	0010-0079	134.073	19.728	265	88	59.534	9.219	1	1	0
11	0011-0085	63.034	11.405	225	81	127.875	7.002	0	0	0
12	0012-0093	171.093	20.130	207	84	116.565	10.003	1	1	0
13	0014-0105	102.055	14.217	251	111	50.711	10.003	0	0	0
14	0015-0117	98.053	15.268	220	124	58.392	8.002	1	0	-1
15	0016-0138	817.444	49.258	370	116	113.962	24.331	12	26	14
16	0017-0121	56.030	10.633	255	117	131.186	7.002	1	1	0
17	0018-0136	464.252	40.322	196	118	113.385	19.521	0	4	4
18	0020-0155	1077.585	68.268	454	122	100.981	20.437	11	37	26
19	0021-0129	97.053	15.004	178	123	126.870	9.002	1	0	-1
20	0022-0137	144.078	18.444	229	130	130.601	12.003	2	2	0
21	0023-0144	93.051	13.042	473	139	122.471	9.002	1	0	-1
22	0024-0165	897.487	46.970	475	186	63.435	31.008	3	9	6
23	0027-0190	2658.443	95.551	393	158	137.121	43.190	19	28	9
24	0028-0223	1542.838	53.866	176	249	68.199	37.010	2	2	0
25	0029-0212	321.174	30.373	220	227	72.759	13.004	2	2	0
26	0030-0241	3396.844	92.443	257	202	125.754	52.511	2	9	7
27	0031-0247	1249.678	65.988	314	215	104.036	24.191	20	32	12
28	0032-0253	2861.554	90.997	411	215	123.341	50.612	3	2	-1
29	0033-0242	752.408	37.600	384	259	61.390	27.007	8	22	14
30	0034-0232	56.030	10.633	206	228	131.186	7.002	1	0	-1
31	0035-0246	246.134	25.639	257	258	69.444	12.003	1	1	0
32	0036-0248	461.250	36.135	198	260	41.634	19.703	1	2	1
33	0037-0254	83.045	13.605	474	249	126.027	8.002	4	1	-3
34	0038-0294	3642.978	78.124	389	262	129.806	60.698	0	5	5
35	0040-0276	173.094	22.478	250	266	110.854	9.002	2	1	-1
36	0041-0284	258.140	25.305	263	272	108.435	13.004	1	2	1
37	0042-0299	896.487	50.014	476	275	106.260	23.006	4	16	12
38	0044-0301	878.477	42.213	304	322	76.293	29.008	22	32	10
39	0045-0318	622.338	45.893	227	340	69.590	20.100	6	26	20
40	0046-0328	1421.772	64.049	275	297	104.470	28.566	9	35	26
41	0047-0329	1294.703	54.135	460	303	106.091	32.009	11	19	8
42	0048-0337	845.459	42.965	382	358	77.905	28.008	4	12	8
43	0050-0371	238.129	25.305	293	359	108.435	11.003	1	1	0
44	0051-0401	935.508	56.336	278	374	106.504	25.007	2	3	1
45	0052-0447	1865.013	59.455	302	476	77.367	42.011	3	5	2
46	0053-0474	767.417	46.703	378	459	133.264	24.336	2	2	0
47	0054-0485	623.338	43.921	238	504	59.931	22.814	2	7	5
48	0175-0190	1035.562	44.023	176	195.667	68.682	30.117	5	22	17
49	0184-0213	430.234	37.930	207	203	75.231	14.961	1	4	3
50	0077-0069	1760.956	85.750	58	118.500	73.045	30.147	1	4	3
51	0160-0060	1202.653	57.309	50.500	188	69.034	28.999	1	2	1
