 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0001-0064	4734.570	126.355	312	1	94.086	55.071	5	6	1
2	0002-0032	1223.664	60.893	375	62	75.735	30.299	0	2	2
3	0003-0035	1225.665	54.421	209	13	126.027	32.878	1	1	0
4	0004-0042	1245.676	54.218	250	19	119.876	34.162	0	0	0
5	0006-0047	1146.623	49.662	457	72	80.727	33.009	1	1	0
6	0007-0063	1170.636	47.815	344	40	105.781	31.008	1	1	0
7	0008-0072	1092.593	52.787	385	96	62.949	31.934	0	1	1
8	0010-0093	3453.875	74.000	218	101	9.335	65.267	1	4	3
9	0011-0120	3055.659	84.551	359	162	79.089	52.521	0	1	1
10	0012-0136	3195.735	91.731	164	94	115.168	49.222	0	1	1
11	0013-0121	661.359	41.773	384	141	73.301	20.230	1	1	0
12	0014-0140	732.398	48.850	217	116	100.620	17.005	2	2	0
13	0015-0172	4190.275	104.589	266	223	77.293	59.788	0	1	1
14	0016-0158	1550.842	62.818	237	127	99.162	34.007	0	5	5
15	0017-0170	1167.634	49.491	387	146	104.036	30.008	1	1	0
16	0018-0190	3372.831	82.642	144	159	128.118	61.017	0	1	1
17	0019-0189	1742.946	64.150	323	221	79.216	35.743	1	1	0
18	0020-0182	1052.571	45.893	66	160	106.460	33.009	0	1	1
19	0023-0209	1739.945	63.618	34	240	73.560	39.296	1	1	0
20	0024-0213	1661.902	72.131	344	247	70.560	29.566	1	3	2
21	0025-0205	1505.818	52.825	209	230	71.222	40.011	2	2	0
22	0026-0231	2094.137	70.730	377	196	98.130	38.619	1	1	0
23	0028-0236	1314.714	60.852	284	264	64.699	31.220	1	2	1
24	0029-0256	3862.097	88.669	236	300	78.944	57.638	0	2	2
25	0030-0251	1681.913	62.985	298	278	57.319	38.129	1	1	0
26	0031-0242	596.324	36.245	164	251	39.401	28.287	0	0	0
27	0032-0254	833.452	41.988	198	234	102.381	27.007	1	1	0
28	0033-0265	1960.064	60.481	123	287	55.784	49.527	0	1	1
29	0034-0270	1810.983	69.797	414	239	115.463	43.609	1	1	0
30	0035-0279	1706.927	59.958	345	253	117.848	35.238	1	1	0
31	0036-0285	1907.035	69.142	455	319	75.763	37.062	1	1	0
32	0037-0289	1513.822	57.024	92	262	105.255	36.595	0	0	0
33	0038-0291	1819.988	56.104	45	319	78.690	43.012	1	1	0
34	0039-0292	1020.554	51.560	171	317	71.917	28.008	1	3	2
35	0040-0283	652.354	36.135	380	270	131.634	24.485	1	1	0
36	0041-0300	1302.707	54.356	210	274	102.758	31.902	0	0	0
37	0042-0312	2914.582	79.281	290	280	119.476	53.749	0	0	0
38	0043-0343	4401.390	104.384	130	394	71.565	57.015	0	0	0
39	0044-0329	2443.326	72.855	266	365	81.314	44.012	2	2	0
40	0045-0327	1390.755	51.879	382	303	109.134	35.010	0	0	0
41	0046-0325	1089.592	49.944	418	304	122.735	31.902	1	1	0
42	0047-0335	1241.674	55.088	342	360	60.642	31.391	1	2	1
43	0048-0350	2325.262	79.834	176	389	74.745	40.579	0	1	1
44	0049-0326	343.186	28.468	280	313	108.435	16.004	0	0	0
45	0050-0359	3654.984	93.031	70	315	106.876	51.149	0	0	0
