 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0002-0040	1321.718	65.783	413	11	118.124	32.465	1	1	0
2	0003-0048	2938.595	78.053	262	66	30.838	56.015	2	2	0
3	0004-0057	1402.762	58.197	336	83	61.232	34.023	2	2	0
4	0005-0073	3240.759	82.387	143	96	29.055	56.095	2	3	1
5	0006-0070	1071.582	47.140	378	93	72.719	29.581	1	1	0
6	0007-0096	2558.389	80.346	227	134	71.114	43.391	1	3	2
7	0008-0075	389.211	32.811	210	88	52.431	16.368	0	0	0
8	0009-0090	1623.882	70.475	406	68	145.408	36.072	2	2	0
9	0011-0091	699.380	43.944	455	75	131.309	25.463	1	1	0
10	0012-0091	361.196	35.237	394	77	124.592	15.314	1	1	0
11	0013-0099	843.458	40.322	331	85	136.005	30.008	1	1	0
12	0014-0114	1662.903	60.324	178	138	49.708	40.019	1	1	0
13	0015-0143	4020.183	98.398	367	96	107.146	59.830	2	4	2
14	0016-0134	1563.849	58.067	121	156	42.207	41.324	1	1	0
15	0017-0169	3464.881	93.133	184	147	155.913	56.015	5	6	1
16	0018-0173	2063.120	68.837	123	190	35.538	44.796	2	2	0
17	0019-0182	1818.988	68.283	285	193	31.827	44.126	3	4	1
18	0020-0191	1818.988	66.749	348	162	119.638	40.563	1	3	2
19	0022-0208	1317.715	58.197	388	233	61.232	36.010	1	1	0
20	0023-0215	1610.875	56.743	275	193	139.289	43.490	1	1	0
21	0024-0210	533.290	30.422	324	224	62.592	25.007	1	1	0
22	0025-0239	1535.834	58.539	327	232	160.017	34.817	1	1	0
23	0027-0264	1023.556	51.638	409	288	68.405	29.525	1	1	0
24	0028-0255	769.418	60.556	316	244	157.671	20.852	0	1	1
25	0036-0346	984.535	46.023	236	332	137.643	31.315	1	1	0
26	0037-0367	2434.322	83.760	102	399	49.844	40.316	1	2	1
27	0038-0354	948.515	45.499	215	335	123.341	30.645	1	1	0
28	0040-0392	1021.555	59.699	216	377	148.707	27.188	1	1	0
29	0041-0397	1360.739	59.219	143	387	164.320	40.089	1	1	0
30	0042-0387	498.271	57.505	296	379	166.931	12.525	0	2	2
31	0043-0412	2068.123	68.982	357	433	29.539	45.953	1	1	0
32	0044-0434	3906.121	91.856	209	396	141.633	67.058	2	2	0
33	0045-0448	5092.765	108.630	74	486	36.764	74.350	3	4	1
34	0046-0435	1731.940	58.889	179	463	69.102	40.484	1	1	0
35	0047-0449	2598.411	66.666	371	442	152.281	57.033	0	0	0
36	0048-0450	2365.284	66.237	295	424	128.254	48.000	1	1	0
37	0197-0186	1293.702	56.135	158.667	195.333	176.254	33.709	1	4	3
38	0222-0221	2643.435	79.534	183.333	229.667	20.106	44.507	2	2	0
39	0282-0204	3715.017	98.753	163.333	296.667	28.209	62.776	2	2	0
40	0293-0247	2085.132	76.238	222	326.667	61.530	47.693	3	3	0
41	0259-0286	923.501	43.916	274.667	276	41.923	33.715	0	0	0
42	0275-0305	1106.601	47.642	290.667	296.667	60.205	34.408	0	1	1
43	0279-0107	1202.653	46.615	99.333	302.333	83.841	40.419	0	0	0
44	0322-0116	1869.015	75.355	108.333	357.333	67.634	37.174	0	2	2
45	0307-0172	1420.771	69.359	144.333	282	145.775	42.370	1	3	2
46	0272-0134	283.154	25.829	127.333	262	129.237	16.526	0	1	1
47	0372-0054	4686.544	88.992	31.333	411	51.541	74.645	2	3	1
48	0438-0067	2281.238	63.980	38	415.333	152.367	55.271	1	4	3
49	0358-0189	1909.036	69.944	190.667	323.333	99.328	43.496	1	3	2
50	0112-0070	647.351	42.059	49.000	116.333	2.726	23.408	0	1	1
51	0123-0099	364.198	27.243	86.333	128.333	21.541	18.389	0	1	1
52	0137-0298	2796.518	91.339	254.333	117.333	163.020	46.530	1	3	2
53	0103-0306	2611.418	78.073	277	89.667	147.735	53.615	2	3	1
54	0196-0447	1783.969	72.042	431.333	226.667	56.898	45.167	1	1	0
55	0145-0438	2040.108	68.225	421	112.333	107.638	42.011	3	4	1
56	0138-0474	1544.839	56.079	456	113.333	115.346	38.950	0	1	1
57	0307-0316	765.416	48.991	294	299.667	156.750	27.157	0	0	0
58	0293-0348	1854.007	55.418	325	278	142.579	48.833	1	3	2
59	0308-0396	2520.368	88.725	386	264.667	105.029	39.677	1	2	1
60	0307-0431	835.454	40.350	420	324.333	47.344	31.080	1	1	0
61	0274-0442	523.284	32.677	435	259	118.657	24.167	0	0	0
62	0351-0429	1000.543	48.295	418.333	328.333	107.684	31.484	1	1	0
63	0370-0396	1948.058	66.905	375	349.667	139.244	38.620	2	5	3
64	0395-0469	3052.657	88.430	443	358.667	122.372	48.237	3	3	0
65	0455-0457	2380.292	66.478	445	423.333	103.339	52.474	1	1	0
66	0406-0315	1716.932	66.913	283.667	394.333	164.094	35.543	3	5	2
67	0345-0315	4567.480	107.515	267	327.667	152.879	64.015	1	5	4
68	0339-0358	716.389	39.170	344.667	323.333	120.713	25.376	0	1	1
