 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0002-0133	1088.591	45.816	212	151	53.881	32.009	1	1	0
2	0003-0162	2341.271	78.469	11	125	107.049	45.087	0	0	0
3	0005-0144	173.094	20.254	67	136	122.905	12.003	0	0	0
4	0006-0163	488.265	37.587	418	180	64.799	18.832	0	0	0
5	0007-0163	218.118	21.030	62	154	115.346	13.004	0	1	1
6	0008-0184	1442.783	66.230	316	154	115.017	33.498	1	2	1
7	0009-0197	1646.894	58.608	379	172	117.440	39.011	1	1	0
8	0010-0222	2902.576	96.073	418	269	75.530	45.434	3	6	3
9	0011-0236	2405.306	100.631	11	186	96.277	34.481	0	1	1
10	0012-0213	1299.706	54.833	255	240	75.203	37.725	0	2	2
11	0013-0205	549.298	34.938	295	222	76.759	19.005	1	1	0
12	0015-0217	530.288	41.773	42	237	73.301	20.005	1	1	0
13	0016-0232	1161.631	58.710	97	203	98.820	25.007	0	2	2
14	0017-0245	1715.932	80.675	115	283	70.442	36.311	0	1	1
15	0018-0238	268.146	31.393	276	252	59.349	12.824	1	0	-1
16	0019-0242	515.280	37.132	383	226	117.255	19.005	0	0	0
17	0020-0251	859.467	52.407	290	275	66.371	25.456	2	2	0
18	0021-0257	805.437	47.521	61	278	59.657	25.621	1	1	0
19	0022-0268	1213.659	57.722	450	240	98.973	31.198	1	1	0
20	0023-0274	1164.632	64.422	25	302	64.231	23.697	3	3	0
21	0024-0268	882.479	45.619	372	246	105.255	25.007	0	1	1
22	0025-0280	1325.720	65.988	254	312	75.964	31.359	3	4	1
23	0026-0296	1828.993	78.622	52	328	53.276	34.965	1	2	1
24	0027-0295	1380.750	65.760	124	324	63.825	32.901	0	0	0
25	0028-0277	56.030	10.633	404	273	131.186	7.002	1	1	0
26	0029-0293	523.284	42.071	419	275	118.393	19.928	0	0	0
27	0030-0315	1819.988	78.111	305	354	80.417	32.009	0	0	0
28	0031-0298	452.246	42.732	271	318	69.444	16.290	1	2	1
29	0032-0328	2773.506	100.685	366	375	69.044	41.979	0	0	0
30	0033-0308	896.487	50.233	356	333	77.347	25.007	1	1	0
31	0034-0326	1326.720	69.876	86	358	66.371	25.972	0	0	0
32	0035-0323	1180.641	50.024	449	299	101.535	33.995	0	2	2
33	0036-0343	2473.343	87.597	410	387	83.443	41.964	0	2	2
34	0038-0329	1004.545	54.098	231	307	123.690	29.219	2	2	0
35	0039-0333	913.496	53.866	14	356	58.671	26.347	0	0	0
36	0041-0369	2429.319	93.170	261	414	75.069	42.220	3	5	2
37	0042-0337	226.123	21.219	58	331	135.000	17.005	0	0	0
38	0043-0365	1680.913	59.497	13	379	26.996	46.162	1	1	0
39	0044-0391	2321.260	97.935	138	429	55.823	41.710	2	3	1
40	0047-0377	518.281	40.011	64	394	53.130	21.022	0	1	1
41	0048-0402	605.329	44.397	205	424	75.651	16.004	0	2	2
42	0049-0412	977.531	51.802	367	387	100.008	26.640	1	1	0
43	0051-0417	626.340	37.132	456	401	117.255	25.007	0	0	0
44	0052-0413	286.155	22.678	115	419	41.424	18.005	0	0	0
45	0053-0429	795.432	39.228	480	448	70.641	27.994	1	2	1
46	0054-0451	1428.776	74.706	235	485	63.778	27.902	1	5	4
47	0055-0444	595.323	44.734	313	422	100.305	21.579	0	0	0
