 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0001-0050	1570.853	68.173	202	17	104.444	31.008	1	1	0
2	0002-0077	3481.890	86.308	291	41	122.217	56.295	1	1	0
3	0003-0096	6159.344	120.049	229	40	113.575	65.999	0	0	0
4	0004-0082	2690.461	73.102	108	117	73.301	53.609	1	1	0
5	0005-0092	2524.370	85.170	137	56	123.503	50.060	2	2	0
6	0006-0127	6222.378	133.442	56	63	104.765	77.419	0	2	2
7	0007-0123	4930.677	109.634	388	75	121.950	63.210	0	0	0
8	0008-0096	860.467	45.499	21	115	56.659	28.164	0	0	0
9	0009-0130	4259.312	106.349	364	79	106.390	52.683	0	0	0
10	0010-0112	1334.725	53.175	208	138	73.610	32.009	1	1	0
11	0011-0122	2122.152	61.677	137	92	98.393	49.651	1	1	0
12	0012-0140	813.442	40.864	231	121	111.541	28.890	0	0	0
13	0013-0168	3677.997	95.927	312	121	101.427	49.667	0	0	0
14	0014-0179	5631.057	107.867	179	131	114.664	75.766	0	0	0
15	0015-0172	1388.754	54.144	288	199	78.275	36.169	1	1	0
16	0016-0201	4646.523	96.799	126	157	113.121	65.626	3	3	0
17	0017-0221	5062.749	113.468	254	165	99.130	63.628	0	0	0
18	0018-0196	1356.737	64.492	409	167	113.782	30.253	1	1	0
19	0019-0201	2022.098	69.546	437	175	130.333	43.638	2	3	1
20	0020-0205	2191.190	64.088	339	226	34.186	44.477	1	1	0
21	0021-0237	2420.314	81.342	86	198	106.429	44.012	1	1	0
22	0022-0247	4980.704	103.768	395	198	107.387	74.318	4	4	0
23	0023-0259	4540.465	109.688	299	211	118.902	62.701	2	2	0
24	0024-0235	639.347	41.785	475	248	42.089	22.632	0	0	0
25	0025-0258	2265.230	74.324	184	226	118.980	44.953	1	1	0
26	0026-0265	2841.543	92.481	440	227	128.853	46.861	2	2	0
27	0027-0297	7111.861	108.288	107	280	168.275	93.619	0	0	0
28	0028-0308	2867.557	79.426	285	273	121.088	50.084	2	2	0
29	0029-0312	2150.167	69.661	239	279	105.832	41.991	2	2	0
30	0030-0302	792.430	38.908	435	321	72.031	29.524	0	1	1
31	0031-0304	689.374	52.407	378	293	156.371	17.995	0	0	0
32	0032-0313	523.284	31.962	474	315	20.136	23.006	0	0	0
33	0033-0331	2293.245	87.156	357	306	148.134	41.363	1	1	0
34	0034-0348	2683.457	81.637	217	308	97.038	48.260	1	2	1
35	0036-0347	3226.752	83.784	436	326	146.689	57.448	2	2	0
36	0037-0350	2487.350	70.730	341	318	118.740	47.301	2	2	0
37	0038-0366	2632.429	65.965	274	399	49.304	57.999	2	2	0
38	0039-0399	5639.061	138.746	133	366	137.337	78.284	4	4	0
39	0040-0395	4552.472	93.084	380	380	171.347	69.110	3	3	0
40	0041-0388	1190.646	52.712	299	409	56.611	30.881	0	0	0
41	0042-0398	1862.011	64.794	249	366	98.881	42.546	2	3	1
42	0043-0432	5636.060	115.465	100	382	121.900	64.923	2	2	0
43	0044-0412	2027.101	57.086	329	408	168.887	49.481	1	1	0
44	0045-0439	3093.680	106.180	143	400	137.291	43.086	2	3	1
45	0046-0441	4035.191	82.878	425	437	156.529	70.023	3	3	0
46	0047-0425	378.205	31.773	135	411	118.179	17.370	0	0	0
47	0048-0439	2392.299	68.114	285	420	150.046	49.013	0	0	0
48	0049-0439	1728.939	63.970	349	450	9.904	38.590	0	0	0
49	0050-0450	933.507	39.672	244	466	56.310	33.153	0	0	0
50	0305-0070	3174.724	83.690	51	345	72.973	51.647	3	4	1
51	0341-0095	2548.384	74.937	58.500	341	168.840	60.242	2	2	0
52	0158-0477	1807.982	66.388	463	191	83.946	46.651	1	3	2
