 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0002-0050	2304.251	82.950	282	15	123.690	46.626	12	17	5
2	0003-0077	1203.653	53.014	345	98	58.109	34.658	1	1	0
3	0004-0107	3104.686	98.088	366	155	78.232	44.651	0	2	2
4	0006-0132	1453.789	64.025	336	161	61.032	28.186	2	2	0
5	0007-0117	297.161	24.193	211	107	119.745	17.005	0	0	0
6	0009-0169	2157.171	59.958	361	165	152.152	52.531	2	2	0
7	0011-0181	927.504	39.835	276	196	38.884	35.010	10	23	13
8	0012-0171	135.073	16.283	336	178	47.490	12.003	2	2	0
9	0013-0191	974.529	53.773	313	217	71.565	24.574	1	1	0
10	0014-0182	428.232	27.810	420	193	52.306	21.006	2	7	5
11	0015-0184	158.086	21.101	183	175	121.430	11.003	1	0	-1
12	0016-0196	878.477	44.934	348	175	106.821	27.793	5	10	5
13	0017-0212	910.494	46.251	325	234	68.429	29.008	18	27	9
14	0018-0211	581.316	36.888	386	199	139.399	23.642	2	4	2
15	0019-0223	617.335	38.844	359	239	55.491	25.463	2	6	4
16	0021-0290	1234.670	70.595	149	255	97.326	26.332	3	13	10
17	0023-0296	919.499	48.096	295	273	106.928	28.371	2	3	1
18	0025-0319	1822.990	73.368	457	355	78.996	35.520	13	22	9
19	0026-0319	763.414	43.428	381	298	104.676	23.006	7	18	11
20	0027-0336	753.409	41.785	282	321	137.911	29.640	2	3	1
21	0028-0379	1455.790	60.844	133	409	80.538	39.011	5	8	3
22	0029-0402	1042.566	61.831	97	372	99.310	28.008	0	9	9
23	0031-0425	135.073	18.793	155	417	115.201	9.002	3	2	-1
24	0032-0441	541.294	39.973	110	458	58.299	19.107	1	1	0
25	0033-0462	1980.075	73.266	363	427	104.226	35.010	21	29	8
26	0034-0462	307.167	26.933	427	475	68.199	14.004	1	5	4
27	0115-0080	1141.620	52.856	74	89.500	96.520	30.483	1	2	1
28	0148-0056	418.227	37.510	50	130.500	106.260	15.180	1	1	0
29	0093-0047	1561.848	71.867	32.500	58	98.807	33.815	2	4	2
30	0067-0019	825.448	65.868	12	35	103.614	17.455	0	0	0
31	0067-0088	598.325	49.818	89	92	83.660	17.005	0	2	2
32	0078-0121	2348.275	82.134	109	118	76.979	38.955	5	5	0
33	0111-0155	2611.418	74.132	144.500	75.500	105.255	44.485	0	1	1
34	0148-0117	772.419	45.237	115	170.500	84.289	25.669	1	3	2
35	0166-0095	1271.690	63.959	95	197.500	83.264	28.888	3	7	4
36	0187-0077	512.278	47.220	67	166	118.465	14.410	1	3	2
37	0214-0063	968.526	70.915	53	179	101.389	19.146	2	4	2
38	0216-0037	776.422	53.496	30.500	242.500	76.483	22.783	1	1	0
39	0172-0027	1399.760	69.238	20.500	207	85.443	33.105	0	0	0
40	0269-0043	2331.266	87.944	24	309	70.741	36.214	2	2	0
41	0273-0073	684.372	45.190	75.500	250.500	95.080	19.811	2	6	4
42	0295-0104	2208.199	84.114	98.500	254	99.238	35.943	4	7	3
43	0306-0132	1295.703	66.065	134	273.500	92.169	29.697	5	14	9
44	0362-0191	2794.517	73.859	178.500	327	108.558	52.862	15	24	9
45	0419-0183	1175.638	58.635	171	393.500	118.532	27.574	4	9	5
46	0408-0205	77.042	15.512	202	401.500	110.772	7.002	2	0	-2
47	0403-0229	1240.674	61.221	223	372.500	94.686	31.309	11	15	4
48	0331-0211	963.523	62.260	213.500	362.500	84.931	27.313	9	25	16
49	0290-0192	1281.696	51.563	179.500	265	98.366	34.509	21	40	19
50	0234-0193	1555.845	56.044	182	261.500	76.584	38.378	30	50	20
51	0216-0219	522.284	35.794	213.500	199.500	105.396	19.216	1	1	0
52	0161-0218	2049.112	64.035	203	129	91.343	48.123	2	2	0
53	0271-0223	1148.624	60.525	219.500	241.500	100.474	24.268	19	46	27
54	0380-0038	753.409	49.584	38.500	355.500	98.702	18.946	3	5	2
55	0401-0072	3017.638	104.481	50.500	350	102.440	46.789	2	3	1
56	0330-0074	2157.171	76.326	64.500	296.500	114.382	45.942	2	3	1
57	0335-0035	782.425	44.131	24	315.500	113.369	22.874	1	2	1
58	0435-0037	1317.715	66.706	34	468.500	85.700	28.248	2	4	2
59	0468-0056	1225.665	59.035	52.500	497.500	88.544	30.973	2	5	3
60	0465-0174	1185.644	49.765	166	490	84.232	34.706	13	25	12
61	0434-0214	464.252	34.686	204	418.500	118.413	19.557	2	10	8
62	0229-0117	2019.096	76.316	115.500	192	100.574	35.312	7	9	2
63	0233-0088	738.401	46.580	90	210	93.077	21.424	4	8	4
64	0059-0160	662.360	40.489	156	40.500	107.987	23.565	4	10	6
65	0037-0177	901.489	55.029	175	10	97.836	23.680	0	2	2
66	0068-0219	480.261	29.849	210	55.500	121.293	24.086	1	4	3
67	0115-0328	806.438	52.057	327	89.500	98.286	20.005	1	4	3
68	0047-0349	1139.619	48.205	340.500	70	59.444	32.360	11	18	7
69	0033-0328	354.192	33.910	319	49.500	52.792	21.700	1	2	1
70	0085-0241	1298.705	50.576	216.500	98.500	2.834	41.996	7	16	9
71	0133-0250	1563.849	52.493	242.500	155	59.036	39.797	13	17	4
72	0190-0252	1720.934	53.325	240.500	214.500	66.801	43.257	34	46	12
73	0237-0250	1417.770	50.930	235	255	45.796	41.329	14	28	14
74	0277-0261	1636.889	53.066	245	292	46.528	43.796	10	25	15
75	0234-0295	2330.265	70.915	286	199.500	101.389	46.950	1	7	6
76	0252-0332	792.430	36.376	331.500	270	71.565	30.792	7	19	12
77	0289-0321	858.466	50.812	312	264	96.216	26.242	5	15	10
78	0272-0374	1226.666	58.539	363	244.500	106.887	28.985	20	30	10
79	0428-0250	1026.557	54.551	252	456	87.898	30.208	10	22	12
80	0422-0278	767.417	47.183	263	402	122.005	25.109	9	25	16
81	0379-0292	2513.365	76.390	281.500	343.500	108.316	53.127	2	2	0
82	0342-0250	3253.766	94.457	240	296	101.607	47.324	1	3	2
83	0413-0347	1594.866	62.695	337	442	68.962	38.330	4	31	27
84	0355-0376	902.490	49.176	369.500	379.500	85.333	27.886	11	19	8
85	0401-0391	1795.975	62.517	379	372	110.610	42.450	4	17	13
86	0470-0342	725.394	53.254	333	495.500	75.311	19.505	7	24	17
87	0450-0313	1822.990	74.204	295.500	485.500	73.153	42.512	19	58	39
88	0472-0272	1627.884	67.703	273.500	438.500	94.236	31.509	24	40	16
89	0476-0234	1618.879	68.488	226.500	510.500	83.290	31.527	8	23	15
90	0326-0345	3833.081	118.195	335.500	384.500	83.928	49.338	2	7	5
91	0247-0403	1499.814	53.047	389	223.500	118.740	38.918	23	37	14
92	0287-0398	308.167	31.576	392	300.500	60.593	14.600	0	0	0
