 	Label	Area	Feret	FeretX	FeretY	FeretAngle	MinFeret	Central Nuclei	Total Myonuclei	Perinuclei
1	0002-0067	1888.025	73.804	461	98	57.171	35.374	0	0	0
2	0003-0067	1506.818	64.306	336	98	74.667	30.584	0	3	3
3	0004-0085	5145.794	102.722	112	133	67.681	74.473	0	2	2
4	0005-0087	4704.554	100.012	365	54	149.331	71.689	0	1	1
5	0006-0070	349.190	34.491	83	85	60.461	15.036	0	3	3
6	0008-0127	828.450	46.240	444	146	51.147	28.119	1	2	1
7	0011-0157	3072.668	75.948	381	188	49.808	59.016	1	1	0
8	0014-0164	301.164	27.210	29	151	107.103	13.004	0	0	0
9	0015-0216	4215.288	125.907	66	276	72.429	53.233	0	3	3
10	0016-0225	4075.212	107.085	361	264	49.167	55.208	1	1	0
11	0017-0212	1490.809	65.018	12	240	59.490	38.776	0	2	2
12	0018-0234	2421.315	82.412	187	193	95.572	39.011	2	2	0
13	0019-0233	598.325	46.338	206	211	103.736	16.754	1	2	1
14	0020-0248	2035.105	83.653	406	286	63.741	33.291	1	1	0
15	0021-0251	892.485	53.866	92	276	68.199	23.709	1	1	0
16	0022-0259	1483.806	68.268	143	293	79.019	28.008	2	3	1
17	0023-0253	975.530	40.815	469	271	53.973	35.010	1	1	0
18	0024-0304	5056.745	114.421	412	356	67.920	74.020	1	3	2
19	0026-0296	2229.210	66.591	361	325	57.265	45.012	2	2	0
20	0027-0312	2075.127	78.571	34	349	68.334	38.233	1	1	0
21	0028-0310	2604.414	84.076	301	345	55.176	52.014	4	6	2
22	0029-0324	2303.250	92.675	238	369	76.264	36.274	0	3	3
23	0031-0309	466.253	27.810	142	320	52.306	23.006	0	1	1
24	0034-0347	1611.875	65.210	361	375	57.529	38.220	2	3	1
25	0035-0376	4378.377	118.994	110	430	63.004	53.502	0	1	1
26	0037-0401	4339.356	115.552	369	437	41.139	60.120	1	4	3
27	0038-0411	5380.921	98.820	175	370	121.759	74.272	0	0	0
28	0039-0414	1228.667	59.050	337	443	79.261	30.008	0	0	0
29	0040-0439	4761.585	106.734	258	492	79.743	58.837	4	7	3
30	0041-0416	1450.788	54.421	293	437	53.973	40.034	2	3	1
31	0042-0438	2600.412	77.222	134	474	73.443	48.013	3	5	2
32	0044-0455	1214.659	59.925	90	484	75.500	30.568	0	4	4
33	0045-0446	77.042	12.810	393	441	128.660	8.002	0	0	0
34	0046-0470	1103.599	49.511	172	446	98.130	31.999	1	1	0
35	0354-0322	3040.651	92.724	284	383	42.814	52.197	3	5	2
36	0362-0272	905.492	54.421	250	379	36.027	25.128	0	2	2
37	0319-0280	1355.736	54.604	267	342	61.557	32.009	0	3	3
38	0231-0298	3995.169	117.305	274	285	65.839	50.532	2	2	0
39	0237-0243	1954.061	75.525	236	274	78.541	33.207	3	3	0
40	0314-0204	4102.227	113.256	182	368	72.525	56.740	0	1	1
41	0297-0179	694.377	43.428	165	314	51.546	22.574	1	1	0
42	0170-0215	1866.013	76.676	206	208	82.504	31.362	2	4	2
43	0172-0246	1067.580	53.353	242	146	96.459	27.007	3	4	1
44	0159-0294	3040.651	94.667	266	196	51.435	57.011	0	0	0
45	0096-0252	2298.248	89.887	228	133	56.575	37.698	3	3	0
46	0090-0227	1269.689	75.684	211	124	60.725	22.905	1	1	0
47	0063-0199	4646.523	127.094	170.500	119	61.821	47.756	1	5	4
48	0073-0309	4152.254	115.644	283.500	123.500	64.100	59.548	0	2	2
49	0138-0351	3004.631	84.793	343	178.500	72.848	49.045	3	3	0
50	0193-0351	1469.798	60.168	349	222.500	76.541	36.161	1	1	0
51	0247-0332	1538.835	59.556	313.500	274	60.852	34.219	2	3	1
52	0453-0317	915.497	40.929	302	443.500	141.450	33.888	1	5	4
53	0178-0128	2673.451	84.923	116	219.500	74.982	37.510	1	2	1
54	0171-0176	4073.211	107.170	159	225	64.870	55.080	2	5	3
55	0138-0070	3136.703	101.414	50.500	186.500	73.084	48.554	0	0	0
56	0046-0051	2621.423	75.482	32	14	120.530	49.912	2	2	0
57	0166-0462	1936.051	80.211	443	201.500	60.078	37.307	3	3	0
58	0212-0475	1389.755	49.516	452.500	206.500	156.801	43.016	1	1	0
59	0438-0427	1647.895	55.962	415	413.500	118.856	38.907	6	10	4
60	0478-0399	1693.920	60.887	387.500	450.500	114.249	37.806	2	3	1
